날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2025-11-27,19:50,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-27,19:35,지출,생활,생필품,주식회사 아성다이소,-1712,KRW,네이버페이 간편결제(머니),
2025-11-27,19:35,지출,생활,생필품,주식회사 아성다이소,-288,KRW,네이버페이 간편결제(포인트),
2025-11-27,16:25,지출,온라인쇼핑,결제/충전,나이스_결제,-3700,KRW,네이버페이 머니 하나 통장,
2025-11-27,14:07,지출,식비,한식,이복희해장 종로직영점,-12000,KRW,K-패스 하나 체크카드,
2025-11-27,09:04,지출,카페/간식,커피/음료,더리터커피(1)_나이스,-2800,KRW,네이버페이 머니 하나 체크카드,
2025-11-27,08:40,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-27,08:35,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-27,07:38,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-26,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-11-26,20:36,지출,온라인쇼핑,인터넷쇼핑,쿠팡 주식회사,-12900,KRW,네이버페이 간편결제(머니),
2025-11-26,20:36,지출,온라인쇼핑,인터넷쇼핑,쿠팡 주식회사,-12900,KRW,네이버페이 머니,
2025-11-26,20:19,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-26,19:47,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-26,18:49,지출,온라인쇼핑,인터넷쇼핑,www.aliexpress.com,-5160,KRW,네이버페이 간편결제(머니),
2025-11-26,18:49,지출,온라인쇼핑,인터넷쇼핑,www.aliexpress.com,-5160,KRW,네이버페이 머니,
2025-11-26,17:19,지출,온라인쇼핑,인터넷쇼핑,www.aliexpress.com,-3830,KRW,네이버페이 간편결제(머니),
2025-11-26,17:19,지출,온라인쇼핑,인터넷쇼핑,www.aliexpress.com,-3830,KRW,네이버페이 머니,
2025-11-26,14:22,지출,카페/간식,커피/음료,더리터 직영종로점,-3500,KRW,네이버페이 간편결제(머니),
2025-11-26,14:20,지출,생활,생필품,주식회사 아성다이소,-4000,KRW,네이버페이 간편결제(머니),
2025-11-26,13:45,지출,식비,패스트푸드,KFC청계천,-8500,KRW,네이버페이 머니 하나 체크카드,
2025-11-26,12:54,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-26,11:54,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-26,09:27,지출,카페/간식,커피/음료,더리터커피(1)_나이스,-2800,KRW,네이버페이 머니 하나 체크카드,
2025-11-25,22:49,지출,문화/여가,게임,네이버 게임스트리밍,-1100,KRW,네이버페이 간편결제,
2025-11-25,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-500,KRW,네이버페이 간편결제(머니),
2025-11-25,20:19,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-25,19:44,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-25,18:43,지출,온라인쇼핑,결제/충전,나이스_결제,-3600,KRW,네이버페이 머니 하나 통장,
2025-11-25,13:24,지출,카페/간식,커피/음료,더리터커피(1)_나이스,-3800,KRW,네이버페이 머니 하나 체크카드,
2025-11-25,10:41,지출,온라인쇼핑,서비스구독,(주)피치그로브,-10290,KRW,네이버페이 간편결제(머니),
2025-11-25,10:41,지출,온라인쇼핑,서비스구독,(주)피치그로브,-10290,KRW,네이버페이 머니,
2025-11-25,07:30,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-24,21:21,지출,생활,생활서비스,코레일유통주식회사,-400,KRW,K-패스 하나 체크카드,
2025-11-24,20:14,지출,생활,편의점,지에스25 판교스테이트점,-1500,KRW,K-패스 하나 체크카드,
2025-11-24,18:58,지출,온라인쇼핑,결제/충전,나이스_결제,-2800,KRW,네이버페이 머니 하나 통장,
2025-11-24,18:37,지출,교통,대중교통,경기시내버스_이비,-1650,KRW,K-패스 하나 체크카드,
2025-11-24,17:09,지출,교통,대중교통,경기시내버스_이비,-1650,KRW,K-패스 하나 체크카드,
2025-11-24,15:29,지출,온라인쇼핑,결제/충전,나이스_결제,-2400,KRW,네이버페이 머니 하나 통장,
2025-11-24,13:34,지출,식비,패스트푸드,한국맥도날드(유)종로3가점,-1500,KRW,네이버페이 머니 하나 체크카드,
2025-11-24,13:32,지출,식비,패스트푸드,엔에이치엔케이씨피 주식회사,-1900,KRW,카카오페이 간편결제,
2025-11-24,11:45,지출,온라인쇼핑,서비스구독,(주)피치그로브,100,KRW,네이버페이 간편결제(머니),
2025-11-24,11:45,지출,온라인쇼핑,서비스구독,(주)피치그로브,-100,KRW,네이버페이 간편결제(머니),
2025-11-23,20:34,지출,교통,대중교통,경기시내버스_이비,-1650,KRW,K-패스 하나 체크카드,
2025-11-23,17:17,지출,교통,대중교통,경기시내버스_이비,-1650,KRW,K-패스 하나 체크카드,
2025-11-23,14:35,지출,금융,카드,엔에이치엔페이코 주,-3900,KRW,네이버페이 간편결제(머니),
2025-11-23,14:35,지출,금융,카드,엔에이치엔페이코 주,-3900,KRW,네이버페이 머니,
2025-11-23,14:32,지출,생활,생필품,토이하우스,-1000,KRW,국민내일배움 FANtastic S 체크,
2025-11-23,12:02,지출,온라인쇼핑,인터넷쇼핑,Aliexpress.com,-17403,KRW,국민행복,
2025-11-22,21:47,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-500,KRW,국민내일배움 FANtastic S 체크,
2025-11-22,21:28,지출,금융,카드,엔에이치엔페이코 주,-3500,KRW,네이버페이 간편결제(머니),
2025-11-22,21:28,지출,금융,카드,엔에이치엔페이코 주,-3500,KRW,네이버페이 머니,
2025-11-22,21:27,지출,의료/건강,약국,용수약국,-3000,KRW,국민내일배움 FANtastic S 체크,
